campus,nível,nome do curso,modalidade,turno,alunos matriculados
Campus Caçapava do Sul,Pós-Graduação,Especialização em Educação Científica e Tecnológica,Especialização,Integral,2
Campus Caçapava do Sul,Pós-Graduação,ESPECIALIZAÇÃO EM GEOFÍSICA E GEOLOGIA APLICADAS À RECURSOS NATURAIS E MEIO AMBIENTE,Especialização,Integral,26
Campus Caçapava do Sul,Pós-Graduação,Mestrado em Tecnologia Mineral,Mestrado,Integral,30
Campus Dom Pedrito,Graduação,Agronegócio,Tecnológico,Noturno,151
Campus Dom Pedrito,Graduação,Ciências da Natureza,Licenciatura Plena,Noturno,132
Campus Dom Pedrito,Graduação,Educação no Campo,Licenciatura Plena,Integral,143
Campus Dom Pedrito,Graduação,Enologia,Bacharelado,Integral,100
Campus Dom Pedrito,Graduação,Zootecnia,Bacharelado,Integral,199
Campus Dom Pedrito,Pós-Graduação,Especialização em Produção Animal,Especialização,Integral,38
Campus Itaqui,Graduação,Agronomia,Bacharelado,Integral,281
Campus Itaqui,Graduação,Ciência e Tecnologia de Alimentos,Bacharelado,Integral,110
Campus Itaqui,Graduação,Engenharia de Agrimensura,Bacharelado,Integral,105
Campus Itaqui,Graduação,Interdisciplinar em Ciência e Tecnologia,Bacharelado,Integral,105
Campus Itaqui,Graduação,Interdisciplinar em Ciência e Tecnologia,Bacharelado,Noturno,169
Campus Itaqui,Graduação,Matemática,Licenciatura Plena,Noturno,107
Campus Itaqui,Graduação,Nutrição,Bacharelado,Integral,191
Campus Itaqui,Pós-Graduação,Especialização em Produção Vegetal,Especialização,Integral,12
Campus Jaguarão,Graduação,Gestão de Turismo,Tecnológico,Noturno,99
Campus Jaguarão,Graduação,História,Licenciatura Plena,Noturno,94
Campus Jaguarão,Graduação,Letras Português/Espanhol e Respectivas Literaturas,Licenciatura Plena,Integral,69
Campus Jaguarão,Graduação,Letras Português/Espanhol e Respectivas Literaturas,Licenciatura Plena,Noturno,116
Campus Jaguarão,Graduação,Pedagogia,Licenciatura Plena,Noturno,165
Campus Jaguarão,Graduação,Produção e Política Cultural,Bacharelado,Integral,72
Campus Jaguarão,Pós-Graduação,Especialização em  Gestão da Educação  Básica: Articulações Entre o Político e o  Pedagógico,Especialização,Integral,29
Campus Jaguarão,Pós-Graduação,Especialização em Cidades - Culturas e Fronteira,Especialização,Integral,21
Campus Jaguarão,Pós-Graduação,Especialização em Direitos Humanos e Cidadania,Especialização,Integral,27
Campus Jaguarão,Pós-Graduação,Especialização em Educação Ambiental,Especialização,Integral,17
Campus Jaguarão,Pós-Graduação,Especialização em Educação Ambiental,Especialização,Matutino,37
Campus Jaguarão,Pós-Graduação,Especialização em Educação e Gestão do Patrimônio Cultural,Especialização,Matutino,17
Campus Jaguarão,Pós-Graduação,Especialização em Metodologia no Ensino de Línguas e Literatura,Especialização,Integral,13
Campus Jaguarão,Pós-Graduação,Especialização em Psicopedagogia Clínica e Institucional,Especialização,Integral,38
Campus Jaguarão,Pós-Graduação,Especialização em Psicopedagogia Institucional,Especialização,Integral,27
Campus Jaguarão,Pós-Graduação,ESPECIALIZAÇÃO EM TECNOLOGIAS DIGITAIS E EDUCAÇÃO,Especialização,Integral,22
Campus Jaguarão,Pós-Graduação,Mestrado em Educação,Mestrado,Integral,51
Campus Santana do Livramento,Graduação,Administração,Bacharelado,Matutino,180
Campus Santana do Livramento,Graduação,Administração,Bacharelado,Noturno,238
Campus Santana do Livramento,Graduação,Ciências Econômicas,Bacharelado,Noturno,176
Campus Santana do Livramento,Graduação,Direito,Bacharelado,Integral,53
Campus Santana do Livramento,Graduação,Gestão Pública,Tecnológico,Noturno,136
Campus Santana do Livramento,Graduação,Relações Internacionais,Bacharelado,Integral,163
Campus Santana do Livramento,Pós-Graduação,Especialização em Desenvolvimento em Regiões de Fronteira,Especialização,Integral,7
Campus Santana do Livramento,Pós-Graduação,Especialização em Gestão Estratégica de Pequenas e Médias  Empresas,Especialização,Integral,24
Campus Santana do Livramento,Pós-Graduação,Especialização em Gestão Pública,Especialização,Integral,30
Campus São Borja,Graduação,Ciências Humanas,Licenciatura Plena,Noturno,175
Campus São Borja,Graduação,Ciências Sociais - Ciência Política,Bacharelado,Noturno,141
Campus São Borja,Graduação,Comunicação Social - Jornalismo,Bacharelado,Integral,119
Campus São Borja,Graduação,Comunicação Social - Publicidade e Propaganda,Bacharelado,Integral,143
Campus São Borja,Graduação,Comunicação Social - Relações Públicas,Bacharelado,Noturno,136
Campus São Borja,Graduação,Serviço Social,Bacharelado,Integral,163
Campus São Borja,Pós-Graduação,Especialização em Políticas Públicas,Especialização,Integral,16
Campus São Borja,Pós-Graduação,Especialização em Serviço Social e Direitos Humanos,Especialização,Integral,25
Campus São Borja,Pós-Graduação,ESPECIALIZAÇÃO EM ATIVIDADES CRIATIVAS E CULTURAIS,Especialização,Integral,18
Campus São Gabriel,Graduação,Biotecnologia,Bacharelado,Integral,95
Campus São Gabriel,Graduação,Ciências Biológicas,Bacharelado,Integral,110
Campus São Gabriel,Graduação,Ciências Biológicas,Licenciatura Plena,Integral,77
Campus São Gabriel,Graduação,Engenharia Florestal,Bacharelado,Integral,140
Campus São Gabriel,Graduação,Gestão Ambiental,Bacharelado,Noturno,135
Campus São Gabriel,Pós-Graduação,Doutorado em Ciências Biológicas,Doutorado,Integral,6
Campus São Gabriel,Pós-Graduação,Especialização em Educação: Interdisciplinaridade  e Transversalidade,Especialização,Integral,25
Campus São Gabriel,Pós-Graduação,Especialização em Gestão Pública e Meio Ambiente,Especialização,Integral,28
Campus São Gabriel,Pós-Graduação,Mestrado em Ciências Biológicas,Mestrado,Integral,26
Campus Uruguaiana,Graduação,Aquicultura,Tecnológico,Vespertino,100
Campus Uruguaiana,Graduação,Ciências da Natureza,Licenciatura Plena,Noturno,150
Campus Uruguaiana,Graduação,Educação Física,Licenciatura Plena,Noturno,174
Campus Uruguaiana,Graduação,Enfermagem,Bacharelado,Integral,220
Campus Uruguaiana,Graduação,Farmácia,Bacharelado,Integral,213
Campus Uruguaiana,Graduação,Fisioterapia,Bacharelado,Integral,262
Campus Uruguaiana,Graduação,Medicina Veterinária,Bacharelado,Integral,393
Campus Uruguaiana,Pós-Graduação,Doutorado em Bioquímica,Doutorado,Matutino,33
Campus Uruguaiana,Pós-Graduação,Especialização em  História e  Cultura  Africana -  Afro-brasileira e Indígena,Especialização,Integral,29
Campus Uruguaiana,Pós-Graduação,ESPECIALIZAÇÃO EM EDUCAÇÃO EM CIÊNCIAS,Especialização,Matutino,44
Campus Uruguaiana,Pós-Graduação,Mestrado em Bioquímica,Mestrado,Integral,34
Campus Uruguaiana,Pós-Graduação,Mestrado em Ciência Animal,Mestrado,Integral,23
Campus Uruguaiana,Pós-Graduação,Mestrado em Ciências Farmacêuticas,Mestrado,Integral,20
Campus Uruguaiana,Pós-Graduação,Programa de Residência Médica,Especialização,Integral,46
Universidade Federal do Pampa,Extensão,A ESCOLA E A CIDADE: POLÍTICAS PÚBLICAS E EDUCACIONAIS,Aperfeiçoamento,Matutino,2
Universidade Federal do Pampa,Extensão,DOCÊNCIA NA ESCOLA DE TEMPO INTEGRAL,Aperfeiçoamento,Matutino,5
Universidade Federal do Pampa,Extensão,ED DO CAMP REFAZENDO CAMINHOS NA REGIÃO DO PAMPA - SÃO BORJA,Aperfeiçoamento,Matutino,32
Universidade Federal do Pampa,Extensão,EDUCAÇÃO DO CAMPO: REFAZENDO CAMINHOS DA REGIÃO DO PAMPA,Aperfeiçoamento,Matutino,48
Universidade Federal do Pampa,Extensão,O ENSINO DE LÍNGUA BRASILEIRA DE SINAIS NA PERSPECTIVA DA EDUCAÇÃO BILINGUE,Aperfeiçoamento,Matutino,3
Universidade Federal do Pampa,Graduação,ALUNO EM REGIME ESPECIAL DE GRADUACAO,Específica referente à profissão,Integral,80
Universidade Federal do Pampa,Pós-Graduação,CAPES FULBRIGHT,Aperfeiçoamento,Integral,4
Universidade Federal do Pampa,Pós-Graduação,PROGRAMA NACIONAL DE PÓS-GRADUAÇÃO,Específica referente à profissão,Integral,5
Universidade Federal do Pampa,Pós-Graduação,REGIME ESPECIAL DE PÓS-GRADUAÇÃO,Específica referente à profissão,Integral,72
